Brand,Display_Type,Display_Resolution,Display_size,Response Time,Refresh Rate,Brigthness,Power_Consumption,Warrantly,Price
LG,FHD IPS,1920 x 1080,24,4,144,300,34,3,46721.61
Asus,FHD LED,1920 x 1080,21.5,5,75,250,12,3,46710
LG,FHD IPS,1920 x 1080,24,5,75,200,28,3,46500
Dell,FHD LED,1920 x 1080,23.8,4,75,250,16,3,46300
HP,FHD LED,1920 x 1080,21.5,5,60,250,30,3,46300
HP,FHD IPS,1920 x 1080,21.5,5,75,300,21,3,46280
HP,FHD IPS,1920 x 1080,23,5,60,250,32,3,46200
Dell,FHD LED,1920 x 1080,24,8,60,250,17,3,46200
HP,FHD LED,1920 x 1080,27,5,60,300,35,3,46194
HP,FHD LED,1920 x 1080,23.8,5,75,300,15,3,46160
HP,FHD IPS,1920 x 1080,24,5,60,300,45,3,46000
HP,FHD LED,1920 x 1080,24,5,60,300,19,3,46000
LG,FHD IPS,1920 x 1080,24,5,75,250,13.5,3,46000
Asus,FHD LED,1920 x 1080,24,5,76,250,25,3,46000
Dell,FHD LED,1920 x 1080,24,8,75,250,17,3,45900
Dell,FHD LED,1920 x 1080,22,8,60,250,11,3,45730
HP,FHD LED,1920 x 1080,21.5,5,60,200,20,3,45520
HP,FHD IPS,1920 x 1080,21.5,5,60,250,50,3,45520
Dell,FHD LED,1920 x 1080,24,1,75,300,17,3,45500
HP,FHD LED,1920 x 1080,21.5,5,60,250,50,3,45422
LG,FHD IPS,1920 x 1080,24,5,75,200,22,3,45200
Dell,FHD LED,1920 x 1080,22,8,60,250,22,3,45080
Dell,FHD LED,1920 x 1080,24,2,75,300,25,3,45000
HP,FHD LED,1920 x 1080,21.5,7,60,250,20,3,44970
Samsung,FHD LED,1920 x 1080,22,5,75,250,25,3,44900
HP,FHD LED,1920 x 1080,21.5,5,60,250,19,3,44870
HP,FHD LED,1920 x 1080,23.8,5,60,250,25,3,44600
Dell,HD LED,1280 x 1024,17,5,60,250,11,3,44600
HP,FHD LED,1920 x 1080,23.8,5,60,250,26,3,44500
HP,FHD LED,1920 x 1080,21.5,5,60,250,19,3,44500
LG,FHD IPS,1920 x 1080,22,5,75,250,29,3,44500
Samsung,FHD IPS,1920 x 1080,24,5,75,250,48,3,44500
HP,HD LED,1600 x 900,19.5,5,60,200,15,3,44500
Samsung,HD LED,1920 x 1080,21.5,4,60,200,18,3,44500
Samsung,FHD IPS,1920 x 1080,21.5,5,60,200,25,3,44000
HP,FHD LED,1920 x 1080,20.7,5,60,200,28,3,43890
LG,FHD IPS,1920 x 1080,21.5,5,75,250,19.7,3,42700
HP,FHD LED,1920 x 1080,20.7,5,60,200,16,3,42500
HP,HD LED,1600 x 900,19.5,5,60,250,18,3,42500
LG,FHD IPS,1366 x 768,19.5,2,60,200,13,3,42200
Dell,HD LED,1600 x 900,19.5,5,60,200,14,3,42100
Dell,HD LED,1366 x 768,18.5,5,60,200,10,3,41940
LG,FHD IPS,1366 x 768,19.5,14,60,200,15,3,41900
HP,HD LED,1600 x 900,18.5,5,60,200,10,3,41830
HP,HD LED,1366 x 768,18.5,5,60,200,19,3,41730
HP,HD LED,1366 x 768,18.5,5,60,200,10,3,41720
Dell,HD LED,1366 x 768,18.5,5,60,200,14,3,41510
Samsung,HD LED,1366 x 768,18.5,5,60,200,17.9,3,41400
LG,FHD IPS,1366 x 768,18.5,5,60,200,18,3,41230
Samsung,FHD LED,1366 x 768,18.5,14,60,250,15,3,41200
